Age,Protein,Total_Fat,Carbohydrates,Sugars,Sodium,Dietary_Fibre_g,Vitamin_C_mg_DV,Vitamin_A_re_DV,Calcium_mg_DV,Iron_mg_DV,Calories
1,13,34,130,19,1000,19,15,300,700,10,1000
2,13,34,130,19,1000,19,15,300,700,10,1000
3,13,34,130,19,1000,19,15,300,700,10,1000
4,19,46,130,19,1000,25,25,400,1000,10,1200
5,19,46,130,19,1000,25,25,400,1000,10,1200
6,19,46,130,19,1000,25,25,400,1000,10,1200
7,19,44.1,130,24,1000,25,25,400,1000,10,1200
8,19,44.1,130,24,1000,25,25,400,1000,10,1400
9,34,44.1,130,24,1500,26,45,600,1300,10,1400
10,34,44.3,130,24,1500,26,45,600,1300,10,1400
11,34,44.3,130,30,1500,26,45,600,1300,10,1600
12,34,44.3,130,30,1500,26,45,600,1300,10,1600
13,34,47.5,130,30,1500,26,45,600,1300,10,1600
14,46,47.5,130,30,1500,26,65,700,1300,15,1800
15,46,47.5,130,30,1500,26,65,700,1300,15,1800
16,46,72.2,130,30,1500,26,65,700,1300,15,1800
17,46,72.2,130,30,1500,26,65,700,1300,15,1800
18,46,72.2,130,30,1500,26,65,700,1300,15,1800
19,46,72.2,130,30,1500,25,75,700,1000,18,2000
20,46,65.4,130,30,1500,25,75,700,1000,18,2000
21,46,65.4,130,30,1500,25,75,700,1000,18,2000
22,46,65.4,130,30,1500,25,75,700,1000,18,2000
23,46,65.4,130,30,1500,25,75,700,1000,18,2000
24,46,65.4,130,30,1500,25,75,700,1000,18,2000
25,46,65.4,130,30,1500,25,75,700,1000,18,2000
26,46,65.4,130,30,1500,25,75,700,1000,18,1800
27,46,65.4,130,30,1500,25,75,700,1000,18,1800
28,46,65.4,130,30,1500,25,75,700,1000,18,1800
29,46,65.4,130,30,1500,25,75,700,1000,18,1800
30,46,68.4,130,30,1500,25,75,700,1000,18,1800
31,46,68.4,130,30,1500,25,75,700,1000,18,1800
32,46,68.4,130,30,1500,25,75,700,1000,18,1800
33,46,68.4,130,30,1500,25,75,700,1000,18,1800
34,46,68.4,130,30,1500,25,75,700,1000,18,1800
35,46,68.4,130,30,1500,25,75,700,1000,18,1800
36,46,68.4,130,30,1500,25,75,700,1000,18,1800
37,46,68.4,130,30,1500,25,75,700,1000,18,1800
38,46,68.4,130,30,1500,25,75,700,1000,18,1800
39,46,68.4,130,30,1500,25,75,700,1000,18,1800
40,46,65.7,130,30,1500,25,75,700,1000,18,1800
41,46,65.7,130,30,1500,25,75,700,1000,18,1800
42,46,65.7,130,30,1500,25,75,700,1000,18,1800
43,46,65.7,130,30,1500,25,75,700,1000,18,1800
44,46,65.7,130,30,1500,25,75,700,1000,18,1800
45,46,65.7,130,30,1500,25,75,700,1000,18,1800
46,46,65.7,130,30,1500,25,75,700,1000,18,1800
47,46,65.7,130,30,1500,25,75,700,1000,18,1800
48,46,65.7,130,30,1500,25,75,700,1000,18,1800
49,46,65.7,130,30,1500,25,75,700,1000,18,1800
50,46,70.5,130,30,1500,25,75,700,1000,18,1800
51,46,70.5,130,30,1200,21,75,700,1200,8,1600
52,46,70.5,130,30,1200,21,75,700,1200,8,1600
53,46,70.5,130,30,1200,21,75,700,1200,8,1600
54,46,70.5,130,30,1200,21,75,700,1200,8,1600
55,46,70.5,130,30,1200,21,75,700,1200,8,1600
56,46,70.5,130,30,1200,21,75,700,1200,8,1600
57,46,70.5,130,30,1200,21,75,700,1200,8,1600
58,46,70.5,130,30,1200,21,75,700,1200,8,1600
59,46,70.5,130,30,1200,21,75,700,1200,8,1600
60,46,70.5,130,30,1200,21,75,700,1200,8,1600
61,46,70.5,130,30,1200,21,75,700,1200,8,1600
62,46,70.5,130,30,1200,21,75,700,1200,8,1600
63,46,70.5,130,30,1200,21,75,700,1200,8,1600
64,46,70.5,130,30,1200,21,75,700,1200,8,1600
65,46,70.5,130,30,1200,21,75,700,1200,8,1600
66,46,70.5,130,30,1200,21,75,700,1200,8,1600
67,46,70.5,130,30,1200,21,75,700,1200,8,1600
68,46,70.5,130,30,1200,21,75,700,1200,8,1600
69,46,70.5,130,30,1200,21,75,700,1200,8,1600
70,46,70.5,130,30,1200,21,75,700,1200,8,1600
71,46,70.5,130,30,1200,21,75,700,1200,8,1600
72,46,70.5,130,30,1200,21,75,700,1200,8,1600
73,46,70.5,130,30,1200,21,75,700,1200,8,1600
74,46,70.5,130,30,1200,21,75,700,1200,8,1600
75,46,70.5,130,30,1200,21,75,700,1200,8,1600
76,46,70.5,130,30,1200,21,75,700,1200,8,1600
77,46,70.5,130,30,1200,21,75,700,1200,8,1600
78,46,70.5,130,30,1200,21,75,700,1200,8,1600
79,46,70.5,130,30,1200,21,75,700,1200,8,1600
80,46,70.5,130,30,1200,21,75,700,1200,8,1600
81,46,70.5,130,30,1200,21,75,700,1200,8,1600
82,46,70.5,130,30,1200,21,75,700,1200,8,1600
83,46,70.5,130,30,1200,21,75,700,1200,8,1600
84,46,70.5,130,30,1200,21,75,700,1200,8,1600
85,46,70.5,130,30,1200,21,75,700,1200,8,1600
86,46,70.5,130,30,1200,21,75,700,1200,8,1600
87,46,70.5,130,30,1200,21,75,700,1200,8,1600
88,46,70.5,130,30,1200,21,75,700,1200,8,1600
89,46,70.5,130,30,1200,21,75,700,1200,8,1600
90,46,70.5,130,30,1200,21,75,700,1200,8,1600
91,46,70.5,130,30,1200,21,75,700,1200,8,1600
92,46,70.5,130,30,1200,21,75,700,1200,8,1600
93,46,70.5,130,30,1200,21,75,700,1200,8,1600
94,46,70.5,130,30,1200,21,75,700,1200,8,1600
