Age,Protein,Total_Fat,Carbohydrates,Sugars,Sodium,Dietary_Fibre_g,Vitamin_C_mg_DV,Vitamin_A_re_DV,Calcium_mg_DV,Iron_mg_DV,Calories
1,13,34,130,19,1000,19,15,300,700,10,1000
2,13,34,130,19,1000,19,15,300,700,10,1000
3,13,34,130,19,1000,19,15,300,700,10,1200
4,19,46,130,19,1000,25,25,400,1000,10,1200
5,19,46,130,19,1000,25,25,400,1000,10,1200
6,19,46,130,19,1000,25,25,400,1000,10,1400
7,19,44.1,130,24,1000,25,25,400,1000,10,1400
8,19,44.1,130,24,1000,25,25,400,1000,10,1400
9,34,44.1,130,24,1500,31,45,600,1300,8,1600
10,34,44.3,130,24,1500,31,45,600,1300,8,1600
11,34,44.3,130,30,1500,31,45,600,1300,8,1800
12,34,44.3,130,30,1500,31,45,600,1300,8,1800
13,34,47.5,130,30,1500,31,45,600,1300,8,2000
14,52,47.5,130,30,1500,38,75,900,1300,11,2000
15,52,47.5,130,30,1500,38,75,900,1300,11,2200
16,52,72.2,130,30,1500,38,75,900,1300,11,2400
17,52,72.2,130,30,1500,38,75,900,1300,11,2400
18,52,72.2,130,30,1500,38,75,900,1300,11,2400
19,56,72.2,130,30,1500,38,90,900,1000,8,2600
20,56,65.4,130,30,1500,38,90,900,1000,8,2600
21,56,65.4,130,30,1500,38,90,900,1000,8,2400
22,56,65.4,130,30,1500,38,90,900,1000,8,2400
23,56,65.4,130,30,1500,38,90,900,1000,8,2400
24,56,65.4,130,30,1500,38,90,900,1000,8,2400
25,56,65.4,130,30,1500,38,90,900,1000,8,2400
26,56,65.4,130,30,1500,38,90,900,1000,8,2400
27,56,65.4,130,30,1500,38,90,900,1000,8,2400
28,56,65.4,130,30,1500,38,90,900,1000,8,2400
29,56,65.4,130,30,1500,38,90,900,1000,8,2400
30,56,68.4,130,30,1500,38,90,900,1000,8,2400
31,56,68.4,130,30,1500,38,90,900,1000,8,2400
32,56,68.4,130,30,1500,38,90,900,1000,8,2400
33,56,68.4,130,30,1500,38,90,900,1000,8,2400
34,56,68.4,130,30,1500,38,90,900,1000,8,2400
35,56,68.4,130,30,1500,38,90,900,1000,8,2400
36,56,68.4,130,30,1500,38,90,900,1000,8,2400
37,56,68.4,130,30,1500,38,90,900,1000,8,2400
38,56,68.4,130,30,1500,38,90,900,1000,8,2400
39,56,68.4,130,30,1500,38,90,900,1000,8,2400
40,56,65.7,130,30,1500,38,90,900,1000,8,2400
41,56,65.7,130,30,1500,38,90,900,1000,8,2200
42,56,65.7,130,30,1500,38,90,900,1000,8,2200
43,56,65.7,130,30,1500,38,90,900,1000,8,2200
44,56,65.7,130,30,1500,38,90,900,1000,8,2200
45,56,65.7,130,30,1500,38,90,900,1000,8,2200
46,56,65.7,130,30,1500,38,90,900,1000,8,2200
47,56,65.7,130,30,1500,38,90,900,1000,8,2200
48,56,65.7,130,30,1500,38,90,900,1000,8,2200
49,56,65.7,130,30,1500,38,90,900,1000,8,2200
50,56,70.5,130,30,1500,38,90,900,1000,8,2200
51,56,70.5,130,30,1200,30,90,900,1000,8,2200
52,56,70.5,130,30,1200,30,90,900,1000,8,2200
53,56,70.5,130,30,1200,30,90,900,1000,8,2200
54,56,70.5,130,30,1200,30,90,900,1000,8,2200
55,56,70.5,130,30,1200,30,90,900,1000,8,2200
56,56,70.5,130,30,1200,30,90,900,1000,8,2200
57,56,70.5,130,30,1200,30,90,900,1000,8,2200
58,56,70.5,130,30,1200,30,90,900,1000,8,2200
59,56,70.5,130,30,1200,30,90,900,1000,8,2200
60,56,70.5,130,30,1200,30,90,900,1000,8,2200
61,56,70.5,130,30,1200,30,90,900,1000,8,2000
62,56,70.5,130,30,1200,30,90,900,1000,8,2000
63,56,70.5,130,30,1200,30,90,900,1000,8,2000
64,56,70.5,130,30,1200,30,90,900,1000,8,2000
65,56,70.5,130,30,1200,30,90,900,1000,8,2000
66,56,70.5,130,30,1200,30,90,900,1000,8,2000
67,56,70.5,130,30,1200,30,90,900,1000,8,2000
68,56,70.5,130,30,1200,30,90,900,1000,8,2000
69,56,70.5,130,30,1200,30,90,900,1000,8,2000
70,56,70.5,130,30,1200,30,90,900,1000,8,2000
71,56,70.5,130,30,1200,30,90,900,1200,8,2000
72,56,70.5,130,30,1200,30,90,900,1200,8,2000
73,56,70.5,130,30,1200,30,90,900,1200,8,2000
74,56,70.5,130,30,1200,30,90,900,1200,8,2000
75,56,70.5,130,30,1200,30,90,900,1200,8,2000
76,56,70.5,130,30,1200,30,90,900,1200,8,2000
77,56,70.5,130,30,1200,30,90,900,1200,8,2000
78,56,70.5,130,30,1200,30,90,900,1200,8,2000
79,56,70.5,130,30,1200,30,90,900,1200,8,2000
80,56,70.5,130,30,1200,30,90,900,1200,8,2000
81,56,70.5,130,30,1200,30,90,900,1200,8,2000
82,56,70.5,130,30,1200,30,90,900,1200,8,2000
83,56,70.5,130,30,1200,30,90,900,1200,8,2000
84,56,70.5,130,30,1200,30,90,900,1200,8,2000
85,56,70.5,130,30,1200,30,90,900,1200,8,2000
86,56,70.5,130,30,1200,30,90,900,1200,8,2000
87,56,70.5,130,30,1200,30,90,900,1200,8,2000
88,56,70.5,130,30,1200,30,90,900,1200,8,2000
89,56,70.5,130,30,1200,30,90,900,1200,8,2000
90,56,70.5,130,30,1200,30,90,900,1200,8,2000
91,56,70.5,130,30,1200,30,90,900,1200,8,2000
92,56,70.5,130,30,1200,30,90,900,1200,8,2000
93,56,70.5,130,30,1200,30,90,900,1200,8,2000
94,56,70.5,130,30,1200,30,90,900,1200,8,2000
