Id,Category,Item,Serving Size
1,Breakfast,Egg McMuffin,4.8 oz (136 g)
2,Breakfast,Egg White Delight,4.8 oz (135 g)
3,Breakfast,Sausage McMuffin,3.9 oz (111 g)
4,Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g)
5,Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g)
6,Breakfast,Steak & Egg McMuffin,6.5 oz (185 g)
7,Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g)
8,Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g)
9,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g)
10,Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g)
11,Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g)
12,Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g)
13,Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g)
14,Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g)
15,Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g)
16,Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g)
17,Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g)
18,Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g)
19,Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g)
20,Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g)
21,Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g)
22,Breakfast,Sausage McGriddles,5 oz (141 g)
23,Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g)
24,Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g)
25,Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g)
26,Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g)
27,Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g)
