"Calories","Total_Fat","Sodium","Carbohydrates","Sugars","Protein","Id","Vitamin_A_re_DV","Vitamin_C_mg_DV","Dietary_Fibre_g","Calcium_mg_DV","Iron_mg_DV"
300.0,13.0,750.0,31.0,3.0,17.0,1.0,100.0,0.0,4.25,275.0,2.7
250.0,8.0,770.0,30.0,3.0,18.0,2.0,60.0,0.0,4.25,275.0,1.44
370.0,23.0,780.0,29.0,2.0,14.0,3.0,80.0,0.0,4.25,275.0,1.8
450.0,28.0,860.0,30.0,2.0,21.0,4.0,150.0,0.0,4.25,330.0,2.7
400.0,23.0,880.0,30.0,2.0,21.0,5.0,60.0,0.0,4.25,275.0,1.8
430.0,23.0,960.0,31.0,3.0,26.0,6.0,150.0,1.2,4.5,330.0,3.6
460.0,26.0,1300.0,38.0,3.0,19.0,7.0,100.0,4.8,1.75,165.0,2.7
520.0,30.0,1410.0,43.0,4.0,19.0,8.0,150.0,4.8,3.0,220.0,3.6
410.0,20.0,1300.0,36.0,3.0,20.0,9.0,20.0,4.8,1.75,165.0,1.8
470.0,25.0,1420.0,42.0,4.0,20.0,10.0,60.0,4.8,3.0,165.0,2.7
430.0,27.0,1080.0,34.0,2.0,11.0,11.0,0.0,0.0,1.5,66.0,2.7
480.0,31.0,1190.0,39.0,3.0,11.0,12.0,40.0,0.0,2.75,88.0,2.7
510.0,33.0,1170.0,36.0,2.0,18.0,13.0,60.0,0.0,1.5,110.0,3.6
570.0,37.0,1280.0,42.0,3.0,18.0,14.0,100.0,0.0,2.75,110.0,3.6
460.0,27.0,1180.0,34.0,3.0,18.0,15.0,0.0,0.0,1.5,88.0,2.7
520.0,32.0,1290.0,40.0,3.0,18.0,16.0,40.0,0.0,2.75,88.0,2.7
410.0,20.0,1180.0,41.0,3.0,17.0,17.0,0.0,1.2,1.5,66.0,2.7
470.0,24.0,1290.0,46.0,4.0,17.0,18.0,40.0,1.2,2.75,88.0,2.7
540.0,32.0,1470.0,38.0,3.0,25.0,19.0,100.0,1.2,2.0,220.0,4.5
460.0,21.0,1250.0,48.0,15.0,19.0,20.0,100.0,6.0,2.25,220.0,2.7
400.0,15.0,1250.0,47.0,16.0,20.0,21.0,20.0,6.0,2.25,165.0,1.8
420.0,22.0,1030.0,44.0,15.0,11.0,22.0,0.0,0.0,2.0,88.0,1.8
550.0,31.0,1320.0,48.0,15.0,20.0,23.0,100.0,0.0,2.25,220.0,2.7
500.0,26.0,1320.0,46.0,15.0,21.0,24.0,20.0,0.0,2.25,220.0,1.8
620.0,31.0,1480.0,57.0,7.0,30.0,25.0,200.0,9.0,2.75,220.0,3.6
570.0,25.0,1480.0,55.0,8.0,30.0,26.0,100.0,9.0,3.0,220.0,2.7
670.0,35.0,1510.0,56.0,7.0,33.0,27.0,200.0,2.4,3.0,275.0,4.5
740.0,48.0,1560.0,51.0,3.0,28.0,28.0,150.0,1.2,3.0,165.0,4.5
800.0,52.0,1680.0,56.0,3.0,28.0,29.0,150.0,1.2,4.25,165.0,5.4
640.0,37.0,1590.0,50.0,3.0,26.0,30.0,0.0,1.2,3.0,110.0,2.7
690.0,41.0,1700.0,55.0,4.0,26.0,31.0,40.0,1.2,4.25,110.0,2.7
1090.0,56.0,2150.0,111.0,17.0,36.0,32.0,150.0,1.2,5.75,275.0,7.2
1150.0,60.0,2260.0,116.0,17.0,36.0,33.0,150.0,1.2,7.0,330.0,7.2
